10Cb	10th cerebellar lobule (nodule)	47DF72
8cn	cochlear root of the vestibulocochlear nerve	DD00FF
8n	vestibulocochlear nerve	F6B2FF
8vn	vestibular root of the vestibulocochlear nerve	F7B2FF
9Cb	9th cerebellar lobule	76FF93
9a-bCb	9th cerebellar lobule, a and b	B2FFC2
9cCb	9th cerebellar lobule, c	00FF36
9n	glossopharyngeal nerve	E959E5
A	-------	9877ED
A1	A1 noradrenaline cells	E900A5
A1-C1	A1 noradrenaline cells/C1 adrenaline cells	E959BD
A11	A11dopamine cells	DF00B4
A13	A13 dopamine cells	FF59DB
A14	A14 dopamine cells	FF00C3
A2	A2 noradrenaline cells	FF59C9
A5	A5 noradrenaline cells	FF00A8
A7	A7 noradrenaline cells	FFB2E3
A8	A8 dopamine cells	FFB2EB
AA	anterior amygdaloid area	E98759
AAD	-------	777777
AAV	-------	777777
ACo	anterior cortical amygdaloid nucleus	E8FF00
AD	anterodorsal thalamic nucleus	F4C447
ADP	-------	FF9F59
AH	anterior hypothalamic area	FFD1B2
AHA	anterior hypothalamic area, anterior part	FFD1B2
AHC	anterior hypothalamic area, central part	FF9C59
AHP	anterior hypothalamic area, posterior part	DF5A00
AHi	amygdalohippocampal area	D45A3B
AHiAL	amygdalohippocampal area, anterolateral part	FFC1B2
AHiAM	-------	FF7A59
AHiPL	amygdalohippocampal area, posterolateral	FF3300
AID	agranular insular cortex, dorsal part	CFD423
AIP	agranular insular cortex, posterior part	E3E923
AIV	agranular insular cortex, ventral part	F1F48E
AL	nucleus of the ansa lenticularis	A38ED8
AM	anteromedial thalamic nucleus	DF952C
AMV	anteromedial thalamic nucleus, ventral part	FF9500
ANS	accessory neurosecretory nuclei	400BC7
AO	anterior olfactory nucleus	CBE959
AOB	accessory olfactory bulb	C5FF00
AOD	anterior olfactory nucleus, dorsal part	B9E900
AOE	anterior olfactory nucleus, external part	D1E976
AOL	anterior olfactory nucleus, lateral part	E2FF76
AOM	anterior olfactory nucleus, medial part	D5FF3B
AOP	anterior olfactory nucleus, posterior part	C4E93B
AOV	anterior olfactory nucleus, ventral part	EEFFB2
AOVP	anterior olfactory nucleus, ventroposterior part	C7FF00
AP	area postrema	7FC2D7
APT	anterior pretectal nucleus	0041FF
APTD	anterior pretectal nucleus, dorsal part	0045FF
APTV	anterior pretectal nucleus, ventral part	B2C5FF
APir	amygdalopiriform transition area	F0FF59
ASt	amygdalostriatal transition area	835FE1
ATg	anterior tegmental nucleus	3BE9E9
ATh 	anterior thalamic region	FFC223
AV	anteroventral thalamic nucleus	EFC485
AVDM	anterovent thalamic nucleus, dorsomedial part	FF9700
AVPO	-------	DF5E00
AVPe	anteroventral periventricular nucleus	DF6B00
AVVL	anteroventral thalamic nucleus, ventrolateral part	FFE0B2
Acb	accumbens nucleus	FFEE00
AcbC	accumbens nucleus, core	FFF9B2
AcbR	accumbens nucleus, rostral pole	FFED00
AcbSh	accumbens nucleus, shell	E9DA00
Acbne	accumbens nucleus neuroepithelium	E9E059
Acs5	-------	66AFC7
Acs6-7	accessory abducens/facial nucleus	33C7F7
Acs7	-------	33C1EF
Ahi	-------	BDA6F6
Al	alar nucleus	865FE9
Amb	ambiguus nucleus	59F26A
AmbC	ambiguus nucleus, compact part	59FF69
AmbL	ambiguus nucleus, loose part	B2FFBB
AmbSC	ambiguus nucleus, subcompact part	00FF1F
Amy	-------	FFC6B2
AngT	angular thalamic nucleus	F4CE6B
Ant	-------	3BE962
Apir	-------	D44400
Aq	aqueduct	DF0045
Arc	arcuate hypothalamic nucleus	FFA559
ArcD	arcuate hypothalamic nucleus, dorsal part	FF7400
ArcL	arcuate hypothalamic nucleus, lateral part	FFD5B2
ArcLP	arcuate hypothalamic nucleus, lateroposterior part	FFA559
ArcM	arcuate hypothalamic nucleus, medial part	E99B59
ArcMP	arcuate hypothalamic nucleus, medial posterior part	E96B00
Astr	-------	FFCBB2
Au	-------	FFFDB2
Au1	primary auditory cortex	FFFB00
Au2	-------	FFFA00
AuD	secondary auditory cortex, dorsal area	FFFDB2
AuV	secondary auditory cortex, ventral area	FFFA00
B	basal nucleus (Meynert)	FFFBB2
B4	-------	19BBEF
B9	B9 serotonin cells	76FFE6
BAC	bed nucleus of the anterior commissure	E94C00
BAOT	bed nucleus of the accessory olfactory tract	FFF500
BG	-------	FFF376
BIC	nucleus of the brachium of the inferior colliculus	002FFF
BL	basolateral amygdaloid nucleus	FF9476
BLA	basolateral amygdaloid nucleus, anterior part	FF7B59
BLP	basolateral amygdaloid nucleus, posterior part	FFC2B2
BLV	basolateral amygdaloid nucleus, ventral part	FF3700
BM	basomedial amygdaloid nucleus	E99176
BMA	basomedial amygdaloid nucleus, anterior part	FF3800
BMP	basomedial amygdaloid nucleus, posterior part	FFC3B2
Bar	Barrington's nucleus	32AFD7
Bo	Botzinger complex	33A8CF
Brain	-------	666666
C	-------	A98EED
C1	C1 adrenaline cells	00AEE7
C2	C2 adrenaline cells	65D9FF
C3	C3 adrenaline cells	7FBBCF
CA	-------	E0FF00
CA1	field CA1 of the hippocampus	BCD400
CA2	field CA2 of the hippocampus	E1FF00
CA3	field CA3 of the hippocampus	F6FFB2
CAT	nucleus of the central acoustic tract	3900CB
CB	cell bridges of the ventral striatum	FFF000
CC	central canal	FF5989
CEnt	caudomedial entothinal cortex	E5FF59
CG	central gray	85D892
CGA	central gray, alpha part	00FF23
CGB	central gray, beta part	59E96E
CGG	central gray, gamma part	00E924
CGO	central gray, nucleus O	59FF73
CGPn	central gray of the pons	B2FFBF
CI	caudal interstitial nucleus of the medial longitudinal fasciculus	59FFA9
CIC	central nucleus of the inferior colliculus	B2BFFF
CL	centrolateral thalamic nucleus	FF9900
CLi	caudal linear nucleus of the raphe	00EFC3
CM	central medial thalamic nucleus	FFE0B2
CPO	caudal periolivary nucleus	66C7E7
CPu	caudate putamen (striatum)	FFEC00
CST	nucleus of the commissural stria terminalis	2CFF00
CVL	caudoventrolateral reticular nucleus	99CDDF
Cb	cerebellum	59FF80
Ce	central amygdaloid nucleus	D43200
CeC	central amygdaloid nucleus, capsular part	FF3C00
CeCv	central cervical nucleus of the spinal cord	5F23F6
CeL	central amygdaloid nucleus, lateral division	FFC4B2
CeM	central amygdaloid nucleus, medial division	FF8159
Cg1	cingulate cortex, area 1	EFF447
Cg2	cingulate cortex, area 2	F7FF00
Cir	circular nucleus	E97400
Cl	claustrum	FFDF00
CnF	cuneiform nucleus	59CEE9
CnFD	cuneiform nucleus, dorsal part	B2F0FF
CnFI	cuneiform nucleus, intermediate part	59DFFF
CnFV	cuneiform nucleus, ventral part	00CEFF
Com	commissural nucleus of the inferior colliculus	7A6BCB
Cop	copula of the pyramis	00E943
Crus1	crus 1 of the ansiform lobule	6BFF96
Crus2	crus 2 of the ansiform lobule	8EE9A9
Ct	conterminal nucleus	00CF65
Cu	cuneate nucleus	2CE569
CuR	cuneate nucleus, rotundus part	00FF51
Cx	cerebral cortex	E5E976
CxA	cortex-amygdala transition zone	F2FF00
CxA-1	-------	F3FF00
CxA-2	-------	FBFFB2
CxA-3	-------	F6FF59
CxA1	cortex-amygdala transition zone, layer 1	FF8F59
D3V	dorsal 3rd ventricle	FF0092
DA	dorsal hypothalamic area	E9A159
DC	dorsal cochlear nucleus	00CBFF
DCDp	dorsal cochlear nucleus, deep core	00CCFF
DCFu	dorsal cochlear nucleus, fusiform layer	00B2DF
DCGr	dorsal cochlear nucleus, granular layer	59DDFF
DCIC	dorsal cortex of the inferior colliculus	5974FF
DCMo	dorsal cochlear nucleus, molecular layer	B2EFFF
DCl	dorsal part of claustrum	FFDE00
DEn	dorsal endopiriform nucleus	F4FF59
DG	dentate gyrus	F4FFB2
DI	dysgranular insular cortex	D8DF00
DIEnt	dorsal intermediate entorhinal cortex	D2E959
DLEnt	dorsolateral entorhinal cortex	D6FF00
DLG	dorsal lateral geniculate nucleus	E9C76B
DLL	dorsal nucleus of the lateral lemniscus	6247F2
DLO	dorsolateral orbital cortex	DADF47
DLPAG	dorsolateral periaqueductal gray	3B41E9
DLPn	-------	76FFD8
DM	dorsomedial hypothalamic nucleus	FF9459
DMC	dorsomedial hypothalamic nucleus, compact part	FF5900
DMD	dorsomedial hypothalamic nucleus, dorsal part	FFCEB2
DMH	-------	FF9D59
DMPAG	dorsomedial periaqueductal gray	3B40FF
DMPn	-------	00D498
DMSp5	dorsomedial spinal trigeminal nucleus	B2FFFA
DMSp5V	-------	777777
DMTg	dorsomedial tegmental area	00FDFF
DMV	dorsomedial hypothalamic nucleus, ventral part	FF6900
DP	dorsal peduncular cortex	D1D46B
DPGi	dorsal paragigantocellular nucleus	19A1CF
DPO	dorsal periolivary region	32CBFF
DPPn	dorsal peduncular pontine nucleus	00FFB7
DR	dorsal raphe nucleus	00FFCC
DR3V	dorsal recess of third ventricle	FF59B5
DRC	dorsal raphe nucleus, caudal part	59FFDC
DRD	dorsal raphe nucleus, dorsal part	00FFCA
DRI	dorsal raphe, interfascicular part	59E9CC
DRL	dorsal raphe nucleus, lateral part	B2FFF0
DRV	dorsal raphe nucleus, ventral part	00E9BC
DS	dorsal subiculum	E2FF59
DT	dorsal terminal nucleus of the accessory optic tract	400BC3
DTM	dorsal tuberomammillary nucleus	FFA959
DTT	dorsal tenia tecta	BEFF00
DTT-1	-------	A7DF00
DTT-2	-------	D5FF59
DTT-3	-------	BEFF00
DTT-4	-------	EBFFB2
DTg	dorsal tegmental nucleus	00F25A
DTgC	dorsal tegmental nucleus, central part	00FF5C
DTgP	dorsal tegmental nucleus, pericentral part	B2FFCF
DTr	dorsal transition zone	6D47CB
Di	Diencephalon	FF7E00
Dk	nucleus of Darkschewitsch	0005FF
DpG	deep gray layer of the superior colliculus	7A76FF
DpMe	-------	5C47CB
DpWh	deep white layer of the superior colliculus	403BE9
E	ependyma and subependymal layer	FF0045
E-OV	ependymal and subendymal layer/olfactory ventricle	FFB2D0
E5	ectotrigeminal nucleus	BFA6FF
EA	sublenticular extended amygdala	FF6D3B
EAC	sublenticular extended amygdala, central part	FFC5B2
EAM	sublenticular extended amygdala, medial part	FF4100
ECIC	external cortex of the inferior colliculus	0035FF
ECIC-1	-------	0038FF
ECIC-2	-------	B2C2FF
ECIC-3	-------	597AFF
ECIC3	-------	9076D0
ECu	external cuneate nucleus	B2FFCC
EF	epifascicular nucleus	5223C7
ELm	epilemniscal nucleus	3E23CB
EMi	-------	6147E5
EP	entopeduncular nucleus	440BD0
EPl	external plexiform layer of the olfactory bulb	B2E900
EPlA	external plexiform layer of the accessory olfactory bulb	ADDF00
ERS	epirubrospinal nucleus	98E5FF
ESO	episupraoptic nucleus	B69AFA
EVe	nucleus of origin of efferents of the vestibular nerve	4CA8C7
EW	Edinger-Westphal nucleus	816BF2
Ect	ectorhinal cortex	E4E947
EntCx	-------	D6FF00
EpP	epipeduncular nucleus	510BFA
Epith	Epith	FFD759
Eth	ethmoid thalamic nucleus	E9AA00
F	nucleus of the fields of Forel	FFAC59
FB	-------	F5FF3B
FC	fasciola cinereum	DAFF00
FV	-------	622FDC
FVe	F cell group of the vestibular complex	66C0DF
Fl	flocculus	47FF7C
Fr3	frontal cortex, area 3	CFD447
FrA	frontal assocn cortex	5A2FC3
Fu	bed nucleus of stria terminalis, fusiform part	4900FA
GI	granular insular cortex	C3C900
GP	globus pallidus	FFF8B2
Gem	gemini hypothalamic nucleus	3D00D0
Gi	gigantocellular reticular nucleus	85F2B2
GiA	gigantocellular reticular nucleus, alpha part	00FF67
GiV	gigantocellular reticular nucleus, ventral part	B2FFD2
Gl	glomerular layer of the olfactory bulb	D7FF59
GlA	glomerular layer of the accessory olfactory bulb	C5FF00
Gr	gracile nucleus	2CCF7C
GrA	granule cell layer of the accessory olfactory bulb	EDFFB2
GrC	granule cell layer of cochlear nuclei	9782C7
GrCb	granule cell layer of the cerebellum	5923D8
GrDG	granular layer of the dentate gyrus	E9FF59
GrO	granular cell layer of the olfactory bulb	C2FF00
HB	-------	76EFC9
HDB	nucleus of the horizontal limb of the diagonal band	DDFFB2
Hipp	-------	DDFF00
HippFormation	-------	CEE93B
Hy	-------	DF6000
I	intercalated nuclei of the amygdala	FFC6B2
I3	-------	5F47D8
I8	interstitial nucleus of the vestibulocochlear nerve	9376D8
IAD	interanterodorsal thalamic nucleus	D4AE47
IAM	interanteromedial thalamic nucleus	D49A00
IB	interstitial nucleus of the medulla	835FD8
IC	inferior colliculus	3B58D4
ICj	islands of Calleja	FFF459
ICjM	islands of Calleja, major island	FFEF00
ID	intradecussational nucleus of the superior cerebellar peduncle	713BF2
IEn	intermediate endopiriform nucleus	9D82DC
IF	interfascicular nucleus	4000D8
IG	indusium griseum	B2FF00
IGL	intergeniculate leaf	DFC98E
II	intermediate interstitial nucleus of the medial longitudinal fasciculus	682FED
IL	infralimbic cortex	D8DF23
ILL	intermediate nucleus of the lateral lemniscus	A882FF
IM	intercalated amygdaloid nucleus, main part	FF4300
IMA	intramedullary thalamic area	FFD66B
IMD	intermediodorsal thalamic nucleus	E9BD47
IMG	amygdaloid intramedullary gray	B19AE5
IO	inferior olivary nucleus	00FFA6
IOA	inferior olive, subnucleus A of medial nucleus	00E994
IOB	inferior olive, subnucleus B of medial nucleus	B2FFE3
IOBe	inferior olive, beta subnucleus	59FFC3
IOC	inferior olive, subnucleus C of medial nucleus	59E9B6
IOD	inferior olive, dorsal nucleus	00FFA9
IODM	inferior olive, dorsomedial cell group	00FFA6
IODMC	-------	B2FFE4
IOK	inferior olive, cap of Kooy of the medial nucleus	00FFA4
IOM	inferior olive, medial nucleus	B2FFE3
IOPr	inferior olive, principal nucleus	00FFA6
IOVL	inferior olive, ventrolateral protrusion	B2FFE5
IP	interpeduncular nucleus	001AD4
IPA	interpeduncular nucleus, apical subnucleus	0024FF
IPAC	interstitial nucleus of the posterior limb of the anterior commissure	DFC600
IPACL	interstitial nucleus of the posterior limb of the anterior commissure, lateral part	FFF6B2
IPACM	interstitial nucleus of the posterior limb of the anterior commissure, medial part	FFE300
IPC	interpeduncular nucleus, caudal subnucleus	596FFF
IPDL	interpeduncular nucleus, dorsolateral subnucleus	480BD4
IPDM	interpeduncular nucleus, dorsomedial subnucleus	001EE9
IPF	interpeduncular fossa	500BED
IPI	interpeduncular nucleus, intermediate subnucleus	0019D4
IPL	interpeduncular nucleus, lateral subnucleus	5969E9
IPR	interpeduncular nucleus, rostral subnucleus	B2BAFF
IPl	internal plexiform layer of the olfactory bulb	ECFFB2
IRt	intermediate reticular nucleus	7C5FBF
IRtA	intermediate reticular nucleus, alpha part	A082E5
IS	inferior salivatory nucleus	9D76F6
IVF	interventricular foramen	6A3BD4
In	intercalated nucleus of the medulla	7FCCE7
InC	interstitial nucleus of Cajal	3B48FF
InCG	-------	A18EFF
InCSh	interstitial nucleus of Cajal. shell region	0011FF
InCo	-------	9D8EE5
InG	intermediate gray layer of the superior colliculus	B5B2FF
InM	intermedius nucleus of the medulla	85EFB9
InWh	intermediate white layer of the superior colliculus	0A00FF
Inf	infundibulum	47F479
InfS	infundibular stem	7647E1
Int	interposed cerebellar nucleus	00FF3C
IntA	interposed cerebellar nucleus, anterior part	59FF80
IntDL	interposed cerebellar nucleus, dorsolateral hump	00FF3D
IntDM	interposed cerebellar nucleus, dorsomedial crest	B2FFC5
IntP	interposed cerebellar nucleus, posterior part	00FF3B
IntPPC	interposed cerebellar nucleus, posterior parvicellular part	00FF3B
Intralaminar-Th-nu	-------	FFBD59
IsoCx	-------	FCFF00
JPLH	juxtaparaventricular part of lateral hypothalamus	886BCB
JxO	juxtaolivary nucleus	5423C3
KF	Kolliker-Fuse nucleus	59FFB7
L	-------	4500E1
LA	lateroanterior hypothalamic nucleus	8C5FF2
LAcbSh	lateral accumbens shell	FFF459
LC	locus coeruleus	4CAECF
LD	laterodorsal thalamic nucleus	FFAE2C
LDDM	laterodorsal thalamic nucleus, dorsomedial part	FF9D00
LDTg	laterodorsal tegmental nucleus	00FFFB
LDTgV	laterodorsal tegmental nucleus, ventral part	00FFFB
LDVL	laterodorsal thalamic nucleus, ventrolateral part	FFE1B2
LH	lateral hypothalamic area	FFCFB2
LM	lateral mammillary nucleus	FF7100
LMol	lacunosum moleculare layer of the hippocampus	EEFF76
LO	lateral orbital cortex	DCDF8E
LOT	nucleus of the lateral olfactory tract	F5FF59
LOT-1	-------	FAFFB2
LOT-2	-------	F5FF59
LOT-3	-------	EFFF00
LOT1	nucleus of the lateral olfactory tract, layer 1	7E5FC3
LP	lateral posterior thalamic nucleus	DFAD59
LPAG	lateral periaqueductal gray	7678FF
LPB	lateral parabrachial nucleus	B2FFDB
LPBC	lateral parabrachial nucleus, central part	00FF85
LPBCr	lateral parabrachial nucleus, crescent part	76E9B3
LPBD	lateral parabrachial nucleus, dorsal part	00E97B
LPBE	lateral parabrachial nucleus, external part	3BE997
LPBI	lateral parabrachial nucleus, internal part	B2FFDB
LPBS	lateral parabrachial nucleus, superior part	3BFFA4
LPBV	lateral parabrachial nucleus, ventral part	76FFC0
LPGi	lateral paragigantocellular nucleus	76BBFF
LPGiA	lateral paragigantocellular nucleus, alpha part	008CFF
LPGiE	lateral paragigantocellular nucleus, external part	B2D6FF
LPLC	lateral posterior thalamic nucleus, laterocaudal part	FFE2B2
LPLR	lateral posterior thalamic nucleus, laterorostral part	FFA000
LPMC	lateral posterior thalamic nucleus, mediocaudal part	DF8C00
LPMR	lateral posterior thalamic nucleus, mediorostral part	FFC259
LPO	lateral preoptic area	FFD0B2
LPtA	lateral parietal association cortex	EDF423
LR4V	lateral recess of the 4th ventricle	FFB2D6
LRt	lateral reticular nucleus	B2FFE7
LRtPC	lateral reticular nucleus, parvicellular part	B2FFE6
LRtS5	lateral reticular nucleus, subtrigeminal part	59FFCB
LS	lateral septal nucleus	95FF00
LSD	lateral septal nucleus, dorsal part	DEFFB2
LSI	lateral septal nucleus, intermediate part	97FF00
LSI-1	-------	85DF00
LSI-2	-------	97FF00
LSI-3	-------	BBFF59
LSI-4	-------	DFFFB2
LSO	lateral superior olive	7FDEFF
LSS	lateral stripe of the striatum	4700E5
LSV	lateral septal nucleus, ventral part	92FF00
LT	lateral terminal nucleus of the accessory optic tract	6623FA
LTe	-------	996BFF
LV	lateral ventricle	FF005D
LVPO	lateroventral periolivary nucleus	00A0D7
LVe	lateral vestibular nucleus	2500D8
LZ	-------	DF5500
La	lat amygdaloid nucleus	E94100
LaDL	lateral amygdaloid nucleus, dorsolateral part	FFC7B2
LaVL	lateral amygdaloid nucleus, ventrolateral part	FF4700
LaVM	lateral amygdaloid nucleus, ventromedial part	FF8859
Lat	lateral (dentate) cerebellar nucleus	00E93B
LatPC	lateral cerebellar nucleus, parvicellular part	00FF40
Ld	lambdoid septal zone	B6FF59
Li	linear nucleus of the medulla	00FFB0
Lth	lithoid nucleus	6023E5
M1	primary motor cortex	EFF46B
M2	secondary motor cortex	ECF400
MA3	medial accessory oculomotor nucleus	19A6D7
MB	Midbrain	3B4CEF
MCLH	magnocellular nucleus of the lateral hypothalamus	FF5E00
MCPC	magnocellular nucleus of the posterior commissure	8E5FF6
MCPO	magnocellular preoptic nucleus	FF9A59
MD	mediodorsal thalamic nucleus	FFA300
MDC	mediodorsal thalamic nucleus, central part	FFC259
MDL	mediodorsal thalamic nucleus, lateral part	FFE3B2
MDM	mediodorsal thalamic nucleus, medial part	FFA400
ME	median eminence	7847E5
MEE	medial eminence, external layer	6F2FFA
MEI	medial eminence, internal layer	510BE9
MEnt	medial entorhinal cortex	F2FFB2
MEntR	-------	4C17BF
MG	medial geniculate nucleus	FFD485
MGD	medial geniculate nucleus, dorsal part	E99700
MGM	medial geniculate nucleus, medial part	FFA500
MGV	medial geniculate nucleus, ventral part	FFE4B2
ML	medial mammillary nucleus, lateral part	E96700
MM	medial mammillary nucleus, medial part	FFEDB2
MO	medial orbital cortex	FBFF8E
MOB	-------	ECFFB2
MPA	medial preoptic area	E99659
MPB	medial parabrachial nucleus	00FF8D
MPBE	medial parabrachial nucleus external part	00FF8C
MPL	medial paralemniscial nucleus	5F2FC7
MPO	medial preoptic nucleus	FF6A00
MPOC	medial preoptic nucleus, central part	FF6A00
MPOL	medial preoptic nucleus, lateral part	FFD2B2
MPOM	medial preoptic nucleus, medial part	FF9E59
MPT	medial pretectal nucleus	9B8ED8
MPn	-------	B2FFE9
MPtA	medial parietal association cortex	DBDF6B
MRVL	-------	4CBFE7
MRe	mammillary recess of the 3rd ventricle	DF0078
MS	medial septal nucleus	82E900
MSO	medial superior olive	7FD2EF
MT	medial terminal nucleus of the accessory optic tract	3D00C3
MTu	medial tuberal nucleus	FF6100
MV	-------	4E17C3
MVPO	medioventral periolivary nucleus	9777DC
MVe	medial vestibular nucleus	59CB8D
MVeMC	medial vestibular nucleus, magnocellular part	B2FFD4
MVePC	medial vestibular nucleus, parvicellular part	00FF76
MZ	-------	FFD3B2
MZMG	marginal zone of the medial geniculate	FFC559
MdD	medullary reticular nucleus, dorsal part	19C3FF
MdV	medullary reticular nucleus, ventral part	00B7F7
Me	medial amygdaloid nucleus	E96F3B
Me5	mesencephalic trigeminal nucleus	4323D8
MeA	medial amygdaloid nucleus, anterior part	FF4A00
MeAD	medial amygdaloid nucleus, ant dorsal	FFC8B2
MeAV	medial amygdaloid nucleus, anteroventral part	FF4A00
MePD	medial amygdaloid nucleus, posterodorsal part	FF4C00
MePV	medial amygdaloid nucleus, posteroventral part	8C6BD4
Med	medial (fastigial) cerebellar nucleus	8EDFA6
MedDL	medial cerebellar nucleus, dorsolateral protuberance	6BD489
MedL	medial cerebellar nucleus, lateral part	00C93B
Medulla-oblongolata	Medulla-oblongolata	85CBA8
Mi	mitral cell layer of the olfactory bulb	A1D400
MiA	mitral cell layer of the accessory olfactory bulb	D8FF59
MiTg	microcellular tegmental nucleus	76E8E9
Min	-------	4B23FF
MnA	median accessory nucleus of the medulla	99D8EF
MnM	medial mammillary nucleus, median part	7B53D0
MnPO	median preoptic nucleus	693BCB
MnR	median raphe nucleus	3BFFDC
Mo5	-------	7FC6DF
Mo5DL	-------	777777
Mo5VM	-------	777777
MoCb	molecular layer of the cerebellum	5017C7
MoDG	molecular layer of the dentate gyrus	F4FFB2
MoS	molecular layer of the subiculum	D3FF00
Mx	matrix region of the medulla	00DF6E
Nv	navicular nucleus of the basal forebrain	916BE1
O	-------	19B1E7
ON	olfactory nerve layer	C6E959
OPC	oval paracentral thalamic nucleus	FFBE59
OPT	olivary pretectal nucleus	7653BF
OT	nucleus of the optic tract	7D53D4
OV	olfactory ventricle (olfactory part of lateral ventricle)	FF005A
Obex	obex	5917E1
Olf	-------	BDFF00
OlfCx	-------	F9FFB2
OlfCx-1	-------	F7FFB2
Op	optic nerve layer of the superior colliculus	443BFF
Or	oriens layer of the hippocampus	CDE900
P	Putamen	FFEF59
P3V	preoptic recess of the 3rd ventricle	FFB2DA
P5	peritrigeminal zone	76D8E9
P7	perifacial zone	BFA6F2
PAG	periaqueductal gray	7678FF
PB	parabrachial nucleus	2CCB84
PBG	parabigeminal nucleus	2900E5
PBP	parabrachial pigmented nucleus of the VTA	00FF92
PBW	-------	B2FFDE
PC	paracentral thalamic nucleus	DF8800
PC5	-------	66D1F7
PCGS	paracochlear glial substance	743BE9
PCRt	parvicellular reticular nucleus	19ABDF
PCRtA	parvicellular reticular nucleus, alpha part	6423E9
PCTg	-------	00E7E9
PCom	nucleus of the posterior commissure	BB9AFF
PDP	-------	FFD2B2
PDPO	posterodorsal preoptic nucleus	886BC3
PDR	posterodorsal raphe nucleus	7447D0
PDTg	posterodorsal tegmental nucleus	3BFCFF
PF	parafascicular thalamic nucleus	FFBA00
PFl	paraflocculus	8EFFAF
PH	posterior hypothalamic nucleus	FFD4B2
PHA	posterior hypothalamic area	8B5FE5
PHD	posterior hypothalamic area, dorsal part	590BF6
PIF	parainterfascicular nucleus of the VTA	470BBF
PIL	posterior intralaminar thalamic nucleus	FFE08E
PL	paralemniscal nucleus	9882C3
PLCo	posterolateral cortical amygdaloid nucleus	FF4F00
PLCo-1	-------	FFCAB2
PLCo-2	-------	FF4F00
PLCo-3	-------	FF8D59
PLH	peduncular part of lateral hypothalamus	5F2FBF
PLV	perilemniscal nucleus, ventral part	5D23D0
PLd	paralambdoid septal nucleus	5B23CB
PLi	posterior limitans thalamic nucleus	8153DC
PM	paramedian lobule	7FD7F7
PMCo	posteromedial cortical amygdaloid nucleus	FF5400
PMD	premammillary nucleus, dorsal part	FFA359
PMV	premammillary nucleus, ventral part	D45F00
PMn	paramedian reticular nucleus	00A4DF
PMnR	paramedian raphe nucleus	B2FFF1
PN	paranigral nucleus of the VTA	8ED4A3
POH	periolivary horn	682FD8
PP	peripeduncular nucleus	7A3BF6
PPT	posterior pretectal nucleus	7147C3
PPTg	-------	3BE9B9
PPy	parapyramidal nucleus	8347FA
PR	prerubral field	4CC4EF
PRh	perirhinal cortex	E6E98E
PS	parastrial nucleus	FF6C00
PSTh	parasubthalamic nucleus	DFAE00
PSol	parasolitary nucleus	0098CF
PT	paratenial thalamic nucleus	DFBF6B
PTe	paraterete nucleus	955FFF
PTg	pedunculopontine tegmental nucleus	B59AE9
