10Cb	10th cerebellar lobule (nodule)	00D83D
CeC	central amygdaloid nucleus, capsular part	FFC4B2
CeCv	central cervical nucleus of the spinal cord	967FD0
CeL	central amygdaloid nucleus, lateral division	FF3D00
CeM	central amygdaloid nucleus, medial division	FF8159
Cg1	cingulate cortex, area 1	C3C900
Cg2	cingulate cortex, area 2	DBDF6B
Cir	circular nucleus	E9A159
Cl	claustrum	FFDF00
CnF	cuneiform nucleus	777777
CnFD	cuneiform nucleus, dorsal part	B2F0FF
CnFI	cuneiform nucleus, intermediate part	59DFFF
CnFV	cuneiform nucleus, ventral part	00CEFF
Com	commissural nucleus of the inferior colliculus	6F59E5
Cop	copula of the pyramis	23FF63
Crus1	crus 1 of the ansiform lobule	8EF2AB
Crus2	crus 2 of the ansiform lobule	23D858
Ct	conterminal nucleus	2CCF7B
Cu	cuneate nucleus	2CCB61
CuR	cuneate nucleus, rotundus part	B2FFCA
Cx	cerebral cortex	F9FF76
CxA	cortex-amygdala transition zone	777777
CxA-1	-------	F3FF00
CxA-2	-------	FBFFB2
CxA-3	-------	F6FF59
CxA1	cortex-amygdala transition zone, layer 1	777777
D3V	dorsal 3rd ventricle	FFB2DD
DA	dorsal hypothalamic area	FFD8B2
DC	dorsal cochlear nucleus	777777
DCDp	dorsal cochlear nucleus, deep core	00B2DF
DCFu	dorsal cochlear nucleus, fusiform layer	B2EFFF
DCGr	dorsal cochlear nucleus, granular layer	59DDFF
DCIC	dorsal cortex of the inferior colliculus	B2BFFF
DCMo	dorsal cochlear nucleus, molecular layer	00CAFF
DCl	dorsal part of claustrum	FFDE00
DEn	dorsal endopiriform nucleus	EEFF00
DG	dentate gyrus	F4FFB2
DI	dysgranular insular cortex	F0F46B
DIEnt	dorsal intermediate entorhinal cortex	C4E900
DLEnt	dorsolateral entorhinal cortex	F2FFB2
DLG	dorsal lateral geniculate nucleus	E5B023
DLL	dorsal nucleus of the lateral lemniscus	9785F2
DLO	dorsolateral orbital cortex	DADF47
DLPAG	dorsolateral periaqueductal gray	B2B5FF
DLPn	-------	777777
DM	dorsomedial hypothalamic nucleus	FF5B00
DMC	dorsomedial hypothalamic nucleus, compact part	FFCDB2
DMD	dorsomedial hypothalamic nucleus, dorsal part	FF5B00
DMH	-------	777777
DMPAG	dorsomedial periaqueductal gray	767AFF
DMPn	-------	777777
DMSp5	dorsomedial spinal trigeminal nucleus	00FFEE
DMSp5V	-------	777777
DMTg	dorsomedial tegmental area	3BFDFF
DMV	dorsomedial hypothalamic nucleus, ventral part	FF6900
DP	dorsal peduncular cortex	E3E923
DPGi	dorsal paragigantocellular nucleus	1DABDA
DPO	dorsal periolivary region	00A4DA
DPPn	dorsal peduncular pontine nucleus	B2FFE9
DR	dorsal raphe nucleus	00FFCC
DR3V	dorsal recess of third ventricle	777777
DRC	dorsal raphe nucleus, caudal part	00E9B8
DRD	dorsal raphe nucleus, dorsal part	00FFCA
DRI	dorsal raphe, interfascicular part	B2FFEF
DRL	dorsal raphe nucleus, lateral part	59E9CD
DRV	dorsal raphe nucleus, ventral part	59FFDF
DS	dorsal subiculum	E2FF59
DT	dorsal terminal nucleus of the accessory optic tract	673FCB
DTM	dorsal tuberomammillary nucleus	FFD7B2
DTT	dorsal tenia tecta	777777
DTT-1	-------	D5FF59
DTT-2	-------	A7DF00
DTT-3	-------	EBFFB2
DTT-4	-------	BDFF00
DTg	dorsal tegmental nucleus	777777
DTgC	dorsal tegmental nucleus, central part	00FF5C
DTgP	dorsal tegmental nucleus, pericentral part	B2FFCF
DTr	dorsal transition zone	8A66E5
Di	Diencephalon	777777
Dk	nucleus of Darkschewitsch	0005FF
DpG	deep gray layer of the superior colliculus	7976E9
DpMe	-------	777777
DpWh	deep white layer of the superior colliculus	413BFF
E	ependyma and subependymal layer	FF5986
E-OV	ependymal and subendymal layer/olfactory ventricle	FFB2D0
E5	ectotrigeminal nucleus	713FED
EA	sublenticular extended amygdala	FF4000
EAC	sublenticular extended amygdala, central part	FF3F00
EAM	sublenticular extended amygdala, medial part	FFC6B2
ECIC	external cortex of the inferior colliculus	0035FF
ECIC-1	-------	B2C3FF
ECIC-2	-------	0036FF
ECIC-3	-------	597AFF
ECIC3	-------	777777
ECu	external cuneate nucleus	00FF55
EF	epifascicular nucleus	6E4CC3
ELm	epilemniscal nucleus	9585E5
EMi	-------	777777
EP	entopeduncular nucleus	3900C7
EPl	external plexiform layer of the olfactory bulb	C7E959
EPlA	external plexiform layer of the accessory olfactory bulb	DAFF59
ERS	epirubrospinal nucleus	00BFFF
ESO	episupraoptic nucleus	BEA5FA
EVe	nucleus of origin of efferents of the vestibular nerve	3BC7F5
EW	Edinger-Westphal nucleus	2100CB
Ect	ectorhinal cortex	DCDF8E
EntCx	-------	777777
EpP	epipeduncular nucleus	8159E5
Epith	Epith	777777
Eth	ethmoid thalamic nucleus	FFC323
F	nucleus of the fields of Forel	E97500
FB	-------	777777
FC	fasciola cinereum	DAFF00
FV	-------	A48CE1
FVe	F cell group of the vestibular complex	76B3C8
Fl	flocculus	47FF7D
Fr3	frontal cortex, area 3	EDF423
FrA	frontal assocn cortex	5E26E9
Fu	bed nucleus of stria terminalis, fusiform part	8059E1
GI	granular insular cortex	CED423
GP	globus pallidus	FFE800
Gem	gemini hypothalamic nucleus	4100E1
Gi	gigantocellular reticular nucleus	2CE579
GiA	gigantocellular reticular nucleus, alpha part	B2FFD1
GiV	gigantocellular reticular nucleus, ventral part	00FF6B
Gl	glomerular layer of the olfactory bulb	ECFFB2
GlA	glomerular layer of the accessory olfactory bulb	C5FF00
Gr	gracile nucleus	00EF75
GrA	granule cell layer of the accessory olfactory bulb	EDFFB2
GrC	granule cell layer of cochlear nuclei	8566D0
GrCb	granule cell layer of the cerebellum	6C32F6
GrDG	granular layer of the dentate gyrus	DEFF00
GrO	granular cell layer of the olfactory bulb	B1E900
HB	-------	777777
HDB	nucleus of the horizontal limb of the diagonal band	B6FF59
Hipp	-------	777777
HippFormation	-------	777777
Hy	-------	777777
I	intercalated nuclei of the amygdala	FF9B76
I3	-------	777777
I8	interstitial nucleus of the vestibulocochlear nerve	653FBF
IAD	interanterodorsal thalamic nucleus	E5A600
IAM	interanteromedial thalamic nucleus	CB9E23
IB	interstitial nucleus of the medulla	8759F6
IC	inferior colliculus	3B58D4
ICj	islands of Calleja	FFFAB2
ICjM	islands of Calleja, major island	FFEF00
ID	intradecussational nucleus of the superior cerebellar peduncle	B598FA
IEn	intermediate endopiriform nucleus	6626FF
IF	interfascicular nucleus	5B19F6
IG	indusium griseum	B2FF00
IGL	intergeniculate leaf	BF8B00
II	intermediate interstitial nucleus of the medial longitudinal fasciculus	5826D0
IL	infralimbic cortex	D1D46B
ILL	intermediate nucleus of the lateral lemniscus	9F7FE9
IM	intercalated amygdaloid nucleus, main part	FF4300
IMA	intramedullary thalamic area	D8A723
IMD	intermediodorsal thalamic nucleus	F2B000
IMG	amygdaloid intramedullary gray	5419DC
IO	inferior olivary nucleus	777777
IOA	inferior olive, subnucleus A of medial nucleus	00FFA2
IOB	inferior olive, subnucleus B of medial nucleus	B2FFE3
IOBe	inferior olive, beta subnucleus	59E9B5
IOC	inferior olive, subnucleus C of medial nucleus	59FFC3
IOD	inferior olive, dorsal nucleus	00FFA9
IODM	inferior olive, dorsomedial cell group	00FFA6
IODMC	-------	777777
IOK	inferior olive, cap of Kooy of the medial nucleus	00E996
IOM	inferior olive, medial nucleus	00FFA3
IOPr	inferior olive, principal nucleus	B2FFE4
IOVL	inferior olive, ventrolateral protrusion	B2FFE5
IP	interpeduncular nucleus	B2BBFF
IPA	interpeduncular nucleus, apical subnucleus	001ED4
IPAC	interstitial nucleus of the posterior limb of the anterior commissure	FFF6B2
IPACL	interstitial nucleus of the posterior limb of the anterior commissure, lateral part	FFF6B2
IPACM	interstitial nucleus of the posterior limb of the anterior commissure, medial part	FFE300
IPC	interpeduncular nucleus, caudal subnucleus	B2BCFF
IPDL	interpeduncular nucleus, dorsolateral subnucleus	9366FF
IPDM	interpeduncular nucleus, dorsomedial subnucleus	001EE9
IPF	interpeduncular fossa	5426BF
IPI	interpeduncular nucleus, intermediate subnucleus	596DFF
IPL	interpeduncular nucleus, lateral subnucleus	001DFF
IPR	interpeduncular nucleus, rostral subnucleus	5968E9
IPl	internal plexiform layer of the olfactory bulb	C1FF00
IRt	intermediate reticular nucleus	9F8CCB
IRtA	intermediate reticular nucleus, alpha part	9365FA
IS	inferior salivatory nucleus	6132CB
IVF	interventricular foramen	777777
In	intercalated nucleus of the medulla	0095C8
InC	interstitial nucleus of Cajal	767EE9
InCG	-------	777777
InCSh	interstitial nucleus of Cajal. shell region	0011FF
InCo	-------	777777
InG	intermediate gray layer of the superior colliculus	0800E9
InM	intermedius nucleus of the medulla	2CDF84
InWh	intermediate white layer of the superior colliculus	B5B2FF
Inf	infundibulum	777777
InfS	infundibular stem	9165F6
Int	interposed cerebellar nucleus	777777
IntA	interposed cerebellar nucleus, anterior part	B2FFC4
IntDL	interposed cerebellar nucleus, dorsolateral hump	00FF3D
IntDM	interposed cerebellar nucleus, dorsomedial crest	59FF81
IntP	interposed cerebellar nucleus, posterior part	00FF3B
IntPPC	interposed cerebellar nucleus, posterior parvicellular part	00FF3B
Intralaminar-Th-nu	-------	777777
IsoCx	-------	777777
JPLH	juxtaparaventricular part of lateral hypothalamus	693FC7
JxO	juxtaolivary nucleus	8B72C3
KF	Kolliker-Fuse nucleus	B2FFDE
L	-------	9972F2
LA	lateroanterior hypothalamic nucleus	8A65DC
LAcbSh	lateral accumbens shell	FFF459
LC	locus coeruleus	59C7EC
LD	laterodorsal thalamic nucleus	777777
LDDM	laterodorsal thalamic nucleus, dorsomedial part	FF9D00
LDTg	laterodorsal tegmental nucleus	00FFFB
LDTgV	laterodorsal tegmental nucleus, ventral part	00FFFB
LDVL	laterodorsal thalamic nucleus, ventrolateral part	FFE1B2
LH	lateral hypothalamic area	777777
LM	lateral mammillary nucleus	E96700
LMol	lacunosum moleculare layer of the hippocampus	DCE976
LO	lateral orbital cortex	F6FF00
LOT	nucleus of the lateral olfactory tract	EFFF00
LOT-1	-------	F5FF59
LOT-2	-------	EFFF00
LOT-3	-------	FAFFB2
LOT1	nucleus of the lateral olfactory tract, layer 1	777777
LP	lateral posterior thalamic nucleus	777777
LPAG	lateral periaqueductal gray	7678E9
LPB	lateral parabrachial nucleus	B2FFDB
LPBC	lateral parabrachial nucleus, central part	76FFBE
LPBCr	lateral parabrachial nucleus, crescent part	00E97A
LPBD	lateral parabrachial nucleus, dorsal part	B2FFDA
LPBE	lateral parabrachial nucleus, external part	3BE997
LPBI	lateral parabrachial nucleus, internal part	00FF87
LPBS	lateral parabrachial nucleus, superior part	3BFFA4
LPBV	lateral parabrachial nucleus, ventral part	76E9B4
LPGi	lateral paragigantocellular nucleus	3B95EF
LPGiA	lateral paragigantocellular nucleus, alpha part	008CFF
LPGiE	lateral paragigantocellular nucleus, external part	B2D6FF
LPLC	lateral posterior thalamic nucleus, laterocaudal part	FFC159
LPLR	lateral posterior thalamic nucleus, laterorostral part	FFA000
LPMC	lateral posterior thalamic nucleus, mediocaudal part	FFE2B2
LPMR	lateral posterior thalamic nucleus, mediorostral part	DF8D00
LPO	lateral preoptic area	D45200
LPtA	lateral parietal association cortex	EEF447
LR4V	lateral recess of the 4th ventricle	FF0079
LRt	lateral reticular nucleus	00FFAF
LRtPC	lateral reticular nucleus, parvicellular part	59FFCA
LRtS5	lateral reticular nucleus, subtrigeminal part	00FFAF
LS	lateral septal nucleus	777777
LSD	lateral septal nucleus, dorsal part	DEFFB2
LSI	lateral septal nucleus, intermediate part	97FF00
LSI-1	-------	85DF00
LSI-2	-------	E0FFB2
LSI-3	-------	96FF00
LSI-4	-------	BAFF59
LSO	lateral superior olive	94C8DA
LSS	lateral stripe of the striatum	5826C7
LSV	lateral septal nucleus, ventral part	92FF00
LT	lateral terminal nucleus of the accessory optic tract	7859BF
LTe	-------	777777
LV	lateral ventricle	FF5996
LVPO	lateroventral periolivary nucleus	00B0EC
LVe	lateral vestibular nucleus	7559FF
LZ	-------	777777
La	lat amygdaloid nucleus	E96C3B
LaDL	lateral amygdaloid nucleus, dorsolateral part	FF8659
LaVL	lateral amygdaloid nucleus, ventrolateral part	FFC7B2
LaVM	lateral amygdaloid nucleus, ventromedial part	FF4800
Lat	lateral (dentate) cerebellar nucleus	3BE967
LatPC	lateral cerebellar nucleus, parvicellular part	00FF40
Ld	lambdoid septal zone	77D400
Li	linear nucleus of the medulla	B2FFE7
Lth	lithoid nucleus	6626F6
M1	primary motor cortex	C4C923
M2	secondary motor cortex	F8FF47
MA3	medial accessory oculomotor nucleus	3BA4C8
MB	Midbrain	777777
MCLH	magnocellular nucleus of the lateral hypothalamus	FF5E00
MCPC	magnocellular nucleus of the posterior commissure	793FFA
MCPO	magnocellular preoptic nucleus	E99159
MD	mediodorsal thalamic nucleus	EFB959
MDC	mediodorsal thalamic nucleus, central part	FFA200
MDL	mediodorsal thalamic nucleus, lateral part	FFE3B2
MDM	mediodorsal thalamic nucleus, medial part	FFC359
ME	median eminence	5119CB
MEE	medial eminence, external layer	4D19BF
MEI	medial eminence, internal layer	B698F6
MEnt	medial entorhinal cortex	E4FF59
MEntR	-------	7B3FFF
MG	medial geniculate nucleus	777777
MGD	medial geniculate nucleus, dorsal part	FFE4B2
MGM	medial geniculate nucleus, medial part	E9B759
MGV	medial geniculate nucleus, ventral part	FFC559
ML	medial mammillary nucleus, lateral part	D45E00
MM	medial mammillary nucleus, medial part	FFECB2
MO	medial orbital cortex	D8DF23
MOB	-------	777777
MPA	medial preoptic area	E99659
MPB	medial parabrachial nucleus	00FF8D
MPBE	medial parabrachial nucleus external part	00FF8C
MPL	medial paralemniscial nucleus	6732D8
MPO	medial preoptic nucleus	FF6A00
MPOC	medial preoptic nucleus, central part	FF9E59
MPOL	medial preoptic nucleus, lateral part	FF6A00
MPOM	medial preoptic nucleus, medial part	FFD2B2
MPT	medial pretectal nucleus	9A85FF
MPn	-------	777777
MPtA	medial parietal association cortex	CDD400
MRVL	-------	777777
MRe	mammillary recess of the 3rd ventricle	FF0086
MS	medial septal nucleus	DDFFB2
MSO	medial superior olive	1DB0E3
MT	medial terminal nucleus of the accessory optic tract	8159D8
MTu	medial tuberal nucleus	FFCFB2
MV	-------	9B7FD8
MVPO	medioventral periolivary nucleus	8266BF
MVe	medial vestibular nucleus	00E568
MVeMC	medial vestibular nucleus, magnocellular part	00FF71
MVePC	medial vestibular nucleus, parvicellular part	B2FFD5
MZ	-------	777777
MZMG	marginal zone of the medial geniculate	FFA600
MdD	medullary reticular nucleus, dorsal part	59B9DA
MdV	medullary reticular nucleus, ventral part	008DBF
Me	medial amygdaloid nucleus	777777
Me5	mesencephalic trigeminal nucleus	6F59D8
MeA	medial amygdaloid nucleus, anterior part	777777
MeAD	medial amygdaloid nucleus, ant dorsal	FFC8B2
MeAV	medial amygdaloid nucleus, anteroventral part	FF4A00
MePD	medial amygdaloid nucleus, posterodorsal part	FF4C00
MePV	medial amygdaloid nucleus, posteroventral part	A18CD0
Med	medial (fastigial) cerebellar nucleus	00E543
MedDL	medial cerebellar nucleus, dorsolateral protuberance	6BE58E
MedL	medial cerebellar nucleus, lateral part	47F279
Medulla-oblongolata	Medulla-oblongolata	777777
Mi	mitral cell layer of the olfactory bulb	D6FF59
MiA	mitral cell layer of the accessory olfactory bulb	ABDF00
MiTg	microcellular tegmental nucleus	00D2D4
Min	-------	777777
MnA	median accessory nucleus of the medulla	94E3FF
MnM	medial mammillary nucleus, median part	A67FFA
MnPO	median preoptic nucleus	4300D4
MnR	median raphe nucleus	00D4AE
Mo5	-------	777777
Mo5DL	-------	777777
Mo5VM	-------	777777
MoCb	molecular layer of the cerebellum	4A00E9
MoDG	molecular layer of the dentate gyrus	F4FFB2
MoS	molecular layer of the subiculum	D3FF00
Mx	matrix region of the medulla	00CF66
Nv	navicular nucleus of the basal forebrain	4200D0
O	-------	777777
ON	olfactory nerve layer	777777
OPC	oval paracentral thalamic nucleus	DF8700
OPT	olivary pretectal nucleus	8E59FF
OT	nucleus of the optic tract	8966D4
OV	olfactory ventricle (olfactory part of lateral ventricle)	FF005A
Obex	obex	8D59FA
Olf	-------	777777
OlfCx	-------	EDFF00
OlfCx-1	-------	EFFF59
Op	optic nerve layer of the superior colliculus	433BE9
Or	oriens layer of the hippocampus	E7FF3B
P	Putamen	777777
P3V	preoptic recess of the 3rd ventricle	777777
P5	peritrigeminal zone	3BD0E9
P7	perifacial zone	5100FA
PAG	periaqueductal gray	3B3DE9
PB	parabrachial nucleus	777777
PBG	parabigeminal nucleus	4F2CF2
PBP	parabrachial pigmented nucleus of the VTA	00FF93
PBW	-------	777777
PC	paracentral thalamic nucleus	FFBE59
PC5	-------	777777
PCGS	paracochlear glial substance	4600D8
PCRt	parvicellular reticular nucleus	77C7E3
PCRtA	parvicellular reticular nucleus, alpha part	834CF6
PCTg	-------	777777
PCom	nucleus of the posterior commissure	7D4CE1
PDP	-------	777777
PDPO	posterodorsal preoptic nucleus	6733D4
PDR	posterodorsal raphe nucleus	A38CD4
PDTg	posterodorsal tegmental nucleus	3BE7E9
PF	parafascicular thalamic nucleus	CBB16B
PFl	paraflocculus	8ED8A4
PH	posterior hypothalamic nucleus	E99959
PHA	posterior hypothalamic area	7033ED
PHD	posterior hypothalamic area, dorsal part	743FE1
PIF	parainterfascicular nucleus of the VTA	AF98DC
PIL	posterior intralaminar thalamic nucleus	E5CE8E
PL	paralemniscal nucleus	510CDC
PLCo	posterolateral cortical amygdaloid nucleus	E94800
PLCo-1	-------	FFCAB2
PLCo-2	-------	FF4F00
PLCo-3	-------	FF8D59
PLH	peduncular part of lateral hypothalamus	6133BF
PLV	perilemniscal nucleus, ventral part	5E19E9
PLd	paralambdoid septal nucleus	4C0CCB
PLi	posterior limitans thalamic nucleus	4F00ED
PM	paramedian lobule	59CCF5
PMCo	posteromedial cortical amygdaloid nucleus	FF8F59
PMD	premammillary nucleus, dorsal part	FFA359
PMV	premammillary nucleus, ventral part	FF7200
PMn	paramedian reticular nucleus	76B9D1
PMnR	paramedian raphe nucleus	3BD4B9
PN	paranigral nucleus of the VTA	00FF4B
POH	periolivary horn	9E7FDC
PP	peripeduncular nucleus	4B0CC7
PPT	posterior pretectal nucleus	BFA5F2
PPTg	-------	777777
PPy	parapyramidal nucleus	6B26F2
PR	prerubral field	59BFE3
PRh	perirhinal cortex	E6E98E
PS	parastrial nucleus	FF6C00
PSTh	parasubthalamic nucleus	FFC500
PSol	parasolitary nucleus	59B1D1
PT	paratenial thalamic nucleus	CB9400
PTe	paraterete nucleus	B198E1
PTg	pedunculopontine tegmental nucleus	9266E9
PV	paraventricular thalamic nucleus	F2BA23
PVA	paraventricular thalamic nucleus, anterior part	E5C46B
PVP	paraventricular thalamic nucleus, posterior part	D89E00
PVZ	-------	777777
Pa	paraventricular hypoth nucleus	FFD6B2
Pa4	paratrochlear nucleus	6719FF
Pa5	paratrigeminal nucleus	00B4F5
Pa6	paraabducens nucleus	6426DC
PaAM	-------	777777
PaAP	paraventricular hypothalamic nucleus, anterior parvicellular part	FFA659
PaC	paracommissural nucleus of the posterior commissure	713FD0
PaDC	paraventricular hypothalamic nucleus, dorsal cap	E99C59
PaLM	paraventricular hypothalamic nucleus, lateral magnocellular part	D46300
